Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-25 10:43:00-05:00,34347.8984375,34357.44140625,34347.8984375,34353.6015625,410312,0,0
2022-11-25 10:44:00-05:00,34353.91015625,34354.328125,34344.12109375,34345.12109375,285629,0,0
2022-11-25 10:45:00-05:00,34343.921875,34350.98046875,34342.640625,34349.55859375,394231,0,0
2022-11-25 10:46:00-05:00,34349.80859375,34350.9296875,34339.328125,34342.05078125,360328,0,0
2022-11-25 10:47:00-05:00,34341.87109375,34349.671875,34341.87109375,34349.671875,344271,0,0
2022-11-25 10:48:00-05:00,34349.71875,34358.94921875,34345.6484375,34358.94921875,406193,0,0
2022-11-25 10:49:00-05:00,34359.5390625,34361.9296875,34354.37109375,34354.828125,363814,0,0
2022-11-25 10:50:00-05:00,34354.91015625,34360.51953125,34353.08984375,34353.08984375,351387,0,0
2022-11-25 10:51:00-05:00,34352.30859375,34358.5,34348.8203125,34358.26953125,407402,0,0
2022-11-25 10:52:00-05:00,34358.23828125,34360.5390625,34356.80078125,34358.73828125,329559,0,0
2022-11-25 10:53:00-05:00,34358.48828125,34364.828125,34358.48828125,34364.76953125,304540,0,0
2022-11-25 10:54:00-05:00,34365.44140625,34371.16015625,34363.55859375,34368.0390625,314408,0,0
2022-11-25 10:55:00-05:00,34368.55859375,34369.76171875,34364.7109375,34368.859375,425522,0,0
2022-11-25 10:56:00-05:00,34368.421875,34372.46875,34365.2890625,34366.171875,393525,0,0
2022-11-25 10:57:00-05:00,34365.671875,34368.12109375,34359.94921875,34360.69921875,364151,0,0
2022-11-25 10:58:00-05:00,34360.6015625,34362.25,34356.91015625,34361.390625,383835,0,0
2022-11-25 10:59:00-05:00,34360.5,34362.69921875,34354.078125,34354.91015625,336887,0,0
2022-11-25 11:00:00-05:00,34355.19921875,34361.19921875,34354.78125,34357.12109375,440274,0,0
2022-11-25 11:01:00-05:00,34357.0703125,34358.109375,34350.578125,34351.1015625,363669,0,0
2022-11-25 11:02:00-05:00,34351.140625,34361.08984375,34351.140625,34360.78125,405004,0,0
2022-11-25 11:03:00-05:00,34360.62890625,34363.25,34359.359375,34363.25,380961,0,0
2022-11-25 11:04:00-05:00,34362.55078125,34369.23046875,34362.109375,34362.9609375,457780,0,0
2022-11-25 11:05:00-05:00,34363.140625,34370.87890625,34362.69921875,34370.671875,351700,0,0
2022-11-25 11:06:00-05:00,34370.01171875,34376.05078125,34367.23828125,34375.69140625,452461,0,0
2022-11-25 11:07:00-05:00,34375.4609375,34376.01171875,34366.48046875,34369.1015625,383300,0,0
